strategy_id,strategy,detailed_description,universe,asset_class,status,selection_mode,params,sharpe_is,sharpe_oos,sharpe,maxdd_is,maxdd_oos,maxdd,cagr_is,cagr_oos,cagr,trades_is,trades_oos,sharpe_oos_cost_stress_2x,psa_status,psa_stable_cells,psa_grid_cells,robustness_guardrails,robustness_confidence,run_id,note
T-01,Dual MA crossover,Dual moving-average crossover: Long when fast MA > slow MA,BTCUSDT,crypto,OK,baseline_fallback,"{""fast_ma"": 20, ""slow_ma"": 100}",0.9935,0.7409,0.7409,-0.5493,-0.1659,-0.1659,0.4396,0.1589,0.1589,10,3,0.7233,NO_STABLE,0,8,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; baseline params (PSA NO_STABLE / fallback),50.0,catalog_t_01,baseline fallback
T-02,CMMA trend,CMMA trend: Sign of ATR-normalized log-price minus lagged MA,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""lookback"": 100}",1.2873,0.8593,0.8593,-0.5202,-0.1423,-0.1423,0.6333,0.1865,0.1865,28,13,0.7799,NO_STABLE,2,7,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,68.0,catalog_t_02,soft-selected; stable<3
T-03,Donchian breakout,Donchian breakout: Long on N-day high break; exit on N/2 low,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""lookback"": 30}",1.1591,-0.5098,-0.5098,-0.4973,-0.4111,-0.4111,0.5064,-0.1329,-0.1329,19,7,-0.5539,NO_STABLE,0,7,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,23.0,catalog_t_03,soft-selected; stable<3
T-04,Donchian + ER gate,Donchian + ER gate: T-03 only when efficiency ratio < 0.3,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""er_max"": 0.3, ""lookback"": 20}",1.1601,0.2555,0.2555,-0.5172,-0.3017,-0.3017,0.4587,0.0326,0.0326,20,6,0.2175,NO_STABLE,0,6,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,56.0,catalog_t_04,soft-selected; stable<3
T-05,TSMOM,Time-series momentum (TSMOM): Long if 12-1 month return > 0; vol-scaled,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""skip_days"": 21}",1.216,0.1397,0.1397,-0.5333,-0.3205,-0.3205,0.6226,-0.0132,-0.0132,22,0,0.1377,NO_STABLE,0,6,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,48.0,catalog_t_05,soft-selected; stable<3
T-06,Percentile-rank momentum,Percentile-rank momentum + hysteresis: Rank return vs own past; enter/exit bands,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""entry_rank"": 0.8, ""exit_rank"": 0.4, ""rank_window"": 189}",1.0581,0.0333,0.0333,-0.5606,-0.2718,-0.2718,0.3885,-0.0122,-0.0122,23,7,-0.0138,NO_STABLE,0,4,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,36.0,catalog_t_06,soft-selected; stable<3
T-08,Vol-filtered trend,Vol-filtered trend: TSMOM active only when realized vol < 90d median,BTCUSDT,crypto,NO_TRADES,baseline_fallback,"{""vol_window"": 90}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,NO_STABLE,0,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; baseline params (PSA NO_STABLE / fallback),20.0,catalog_t_08,baseline fallback
T-09,52-week high breakout,52-week high breakout: Long near 252d high,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""entry_prox"": 0.06, ""exit_prox"": 0.1}",1.1245,-0.6059,-0.6059,-0.3876,-0.2176,-0.2176,0.3535,-0.136,-0.136,20,5,-0.64,NO_STABLE,0,6,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,23.0,catalog_t_09,soft-selected; stable<3
T-10,QQQ/BTC Donchian rotation,QQQ/BTC Donchian rotation: Hold QQQ or BTC by breakout strength; cash if neither,QQQ+BTC,crypto,OK,baseline_fallback,"{""lookback"": 20}",0.0,-1.5341,-1.5341,0.0,-0.0184,-0.0184,0.0,-0.1422,-0.1422,0,3,-2.1354,NO_STABLE,0,6,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; baseline params (PSA NO_STABLE / fallback),0.0,catalog_t_10,baseline fallback
T-13,Network momentum hub,Network momentum (single hub): BTC 20d mom → trade ETH next day (fixed lead-lag),ETHUSDT,crypto,OK,psa_stable_plateau,"{""lookback"": 40}",1.6368,0.4003,0.4003,-0.5304,-0.4398,-0.4398,1.2298,0.0805,0.0805,49,20,0.3443,STABLE,6,6,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 6/6 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",79.0,catalog_t_13,
